"V1","V2","V3"
"1",4552504,681670.983155987,7477206.71336827
"2",4552508,684305.67161939,7477649.79712911
"3",4551615,673433.438464699,7476652.3043299
"4",4552314,650619.383314022,7474759.86735396
"5",4551616,672083.536493156,7476503.43111167
"6",4553004,670769.393287363,7476898.21102169
"7",4553005,669759.342217995,7476444.90388299
"8",4553007,668524.885405867,7476811.0336082
"9",4552503,679868.654753805,7475503.43672284
"10",4553008,667488.94288988,7476533.61583615
"11",4551614,674950.487115165,7476328.10504227
"12",4551609,676146.593501907,7476259.38449237
"13",4553009,666397.99584383,7475775.0022178
"14",4553006,669056.437766517,7475774.25155248
"15",4551604,676905.355991172,7475499.14787325
"16",4553010,668220.563601377,7475518.03943304
"17",4552201,653626.459904573,7472918.5161266
"18",4551910,671654.04916377,7475513.69368693
"19",4552703,664852.387791042,7475248.51417079
"20",4553003,670275.409318144,7475212.85006011
"21",4552206,656392.821367943,7473636.8239712
"22",4551613,674686.87470874,7475712.97585153
"23",4551610,675301.526774426,7475286.13699191
"24",4551612,673640.738967313,7475349.19871897
"25",4553011,667296.745805633,7474931.50232093
"26",4552315,646945.657713043,7472503.74201421
"27",4551608,675848.922971988,7474752.48436716
"28",4552707,663163.795044649,7474795.8882891
"29",4551611,674029.935227723,7474763.33129474
"30",4551603,677945.746574513,7474319.75069157
"31",4551909,671599.789454459,7474662.71467932
"32",4553002,668985.138262308,7474504.46976996
"33",4552706,662769.863915188,7473793.50662786
"34",4552702,666400.078397894,7473781.69136443
"35",4553012,667860.383991003,7473851.9984746
"36",4551605,676300.150388307,7474168.13030454
"37",4551908,672927.069659417,7474278.70982451
"38",4552704,665114.311576312,7473994.85168143
"39",4553001,669439.16570973,7473881.11170272
"40",4551607,674840.638259761,7473960.13640504
"41",4551907,672246.27416524,7473724.25708777
"42",4551617,673527.102565799,7473786.4173477
"43",4551602,677228.732170073,7473577.8468682
"44",4551911,670962.308415146,7473584.66307459
"45",4551606,674889.280373997,7472837.4619658
"46",4551912,670452.149335396,7472920.66471874
"47",4552705,663874.125996262,7473153.49367644
"48",4552211,660668.090811106,7471432.95364152
"49",4552218,665328.664793677,7472806.94430949
"50",4552006,668722.560000979,7472827.41502815
"51",4551903,673428.571561431,7472826.00617834
"52",4551508,678353.488126853,7472883.1466902
"53",4551906,671696.178125818,7472986.31038309
"54",4552217,663184.756270943,7472181.68943279
"55",4552007,669461.496389676,7472562.75524988
"56",4552701,667256.649585348,7472717.48779608
"57",4551601,675959.023073004,7472584.81995064
"58",4551507,679026.710028923,7472402.9397787
"59",4551904,672497.885669654,7472447.99135755
"60",4551509,677030.326702549,7471957.4423422
"61",4551905,671450.724723423,7472044.69520639
"62",4552008,669859.041812383,7471723.12771927
"63",4552219,665832.634295994,7471224.63509775
"64",4551902,674079.937420778,7471629.40963383
"65",4552001,667270.952053725,7471690.29647612
"66",4551505,679216.112037853,7471689.34306226
"67",4551901,672816.105245323,7471298.26017661
"68",4552005,668479.5955193,7471800.53364509
"69",4551506,678276.27956156,7471155.89456828
