x,codigo
1,520110805
2,280030805
3,350280405
4,310350405
5,310560805
6,330040705
7,350550005
8,420240405
9,350760505
10,320120905
11,250400905
12,350950205
13,500270405
14,260410605
15,410480805
16,420420205
17,320150605
18,230420205
19,420460805
20,510340305
21,420540705
22,410830405
23,260600205
24,520880605
25,312770105
26,291480205
27,420820305
28,250750705
29,420910205
30,291840705
31,230730405
32,313670205
33,420930005
34,411370005
35,270430205
36,411520005
37,240800305
38,240810205
39,330330205
40,172100005
41,220770205
42,431410005
43,314800405
44,261110105
45,411990505
46,110020505
47,315250105
48,354140605
49,330420105
50,510760205
51,354980505
52,354990405
53,211130005
54,293135005
55,316860605
56,221100105
57,317010705
58,317020605
59,320530905
60,293330705
61,330630505
62,150140205
63,310620005
64,410690205
65,230440005
66,431490205
67,261160605
68,292740805
69,530010805
70,330455705
71,355030800
72,350950205
73,510340305
74,172100005
75,110020505
76,317010705
77,317020605
78,293330705
79,520110805
80,250400905
81,260410605
82,410830405
83,520880605
84,291480205
85,250750705
86,230730405
87,270430205
88,240810205
89,310350405
90,500270405
91,411370005
92,411520005
93,354140605
94,330040705
95,350760505
96,330070405
97,320120905
98,330330205
99,330420105
100,354990405
101,320530905
102,312770105
103,313670205
104,315250105
105,316860605
106,317070105
107,280030805
108,120040105
109,410480805
110,293135005
111,330630505
112,261110105
113,420540705
114,420820305
115,420910205
116,353070605
117,411990505
118,510760205
119,354980505
120,291840705
121,211130005
122,221100105
123,240800305
124,350280405
125,420460805
126,431410005
127,350550005
128,351620005
129,420240405
130,420930005
131,230420205
132,314800405
133,420420205
134,220770205
135,260600205
136,355030800
137,530010805
138,330455705
139,150140205
140,310620005
141,410690205
142,230440005
143,431490205
144,261160605
145,292740805
146,310560805
147,320150605
