"MUNIC_RES","ANO","POPULACAO"
"110001","2002",27237
"110002","2002",78039
"110003","2002",7490
"110004","2002",74381
"110005","2002",17925
"110006","2002",20881
"110007","2002",10160
"110008","2002",9919
"110009","2002",26221
"110010","2002",39194
"110011","2002",54352
"110012","2002",108694
"110013","2002",24724
"110014","2002",17334
"110015","2002",40841
"110018","2002",31656
"110020","2002",347844
"110025","2002",26065
"110026","2002",3127
"110028","2002",48101
"110029","2002",11450
"110030","2002",57074
"110032","2002",25959
"110033","2002",16362
"110034","2002",19750
"110037","2002",13490
"110040","2002",14084
"110045","2002",30521
"110050","2002",12458
"110060","2002",5398
"110070","2002",13500
"110080","2002",14314
"110090","2002",4178
"110092","2002",5842
"110094","2002",7305
"110100","2002",15106
"110110","2002",7356
"110120","2002",11308
"110130","2002",13438
"110140","2002",13838
"110143","2002",8601
"110145","2002",3503
"110146","2002",2557
"110147","2002",4334
"110148","2002",7116
"110149","2002",13636
"110150","2002",12987
"110155","2002",5697
"110160","2002",12047
"110170","2002",15700
"110175","2002",8655
"110180","2002",10028
"120001","2002",8454
"120005","2002",3611
"120010","2002",17649
"120013","2002",6382
"120017","2002",5814
"120020","2002",71571
"120025","2002",11785
"120030","2002",28606
"120032","2002",4505
"120033","2002",11779
"120034","2002",6737
"120035","2002",8341
"120038","2002",15759
"120039","2002",5283
"120040","2002",267740
"120042","2002",8398
"120043","2002",2576
"120045","2002",20726
"120050","2002",30519
"120060","2002",26582
"120070","2002",12230
"120080","2002",11895
"130002","2002",12921
"130006","2002",7849
"130008","2002",6676
"130010","2002",11810
"130014","2002",15575
"130020","2002",10482
"130030","2002",25868
"130040","2002",26966
"130050","2002",23897
"130060","2002",24251
"130063","2002",11796
"130068","2002",11109
"130070","2002",27370
"130080","2002",31018
"130083","2002",9218
"130090","2002",10439
"130100","2002",24289
"130110","2002",26657
"130115","2002",17079
"130120","2002",73075
"130130","2002",18358
"130140","2002",27274
"130150","2002",19633
"130160","2002",34679
"130165","2002",13583
"130170","2002",31534
"130180","2002",15833
"130185","2002",35128
"130190","2002",74914
"130195","2002",8263
"130200","2002",7766
"130210","2002",10181
"130220","2002",6908
"130230","2002",24101
"130240","2002",28094
"130250","2002",77171
"130255","2002",13130
"130260","2002",1488805
"130270","2002",38076
"130280","2002",18182
"130290","2002",42043
"130300","2002",15798
"130310","2002",25992
"130320","2002",8731
"130330","2002",18273
"130340","2002",96750
"130350","2002",17104
"130353","2002",19562
"130356","2002",19910
"130360","2002",9538
"130370","2002",30527
"130380","2002",31379
"130390","2002",25110
"130395","2002",7711
"130400","2002",8223
"130406","2002",40022
"130410","2002",19587
"130420","2002",66664
"130423","2002",16665
"130426","2002",11274
"130430","2002",19854
"130440","2002",11126
"140002","2002",5560
"140005","2002",19316
"140010","2002",214541
"140015","2002",10434
"140017","2002",9213
"140020","2002",15448
"140023","2002",5752
"140028","2002",5211
"140030","2002",11382
"140040","2002",5868
"140045","2002",7401
"140047","2002",19819
"140050","2002",5206
"140060","2002",5707
"140070","2002",6013
"150010","2002",123184
"150013","2002",6291
"150020","2002",55270
"150030","2002",31503
"150034","2002",25291
"150040","2002",41190
"150050","2002",34065
"150060","2002",79776
"150070","2002",19172
"150080","2002",423325
"150085","2002",8558
"150090","2002",33577
"150095","2002",21278
"150100","2002",16495
"150110","2002",13679
"150120","2002",21339
"150125","2002",3656
"150130","2002",66913
"150140","2002",1322683
"150145","2002",15467
"150150","2002",38458
"150157","2002",13426
"150160","2002",10084
"150170","2002",96618
"150172","2002",18387
"150175","2002",7686
"150178","2002",36376
"150180","2002",81845
"150190","2002",22487
"150195","2002",16952
"150200","2002",16317
"150210","2002",100241
"150215","2002",11761
"150220","2002",58372
"150230","2002",50677
"150240","2002",141318
"150250","2002",17339
"150260","2002",11115
"150270","2002",43668
"150275","2002",22157
"150276","2002",6043
"150277","2002",17863
"150280","2002",21028
"150285","2002",9429
"150290","2002",27351
"150293","2002",42720
"150295","2002",33424
"150300","2002",11462
"150304","2002",14585
"150307","2002",25010
"150309","2002",25135
"150310","2002",23967
"150320","2002",33472
"150330","2002",54868
"150340","2002",7894
"150345","2002",28473
"150350","2002",30393
"150360","2002",95252
"150370","2002",54088
"150375","2002",27058
"150380","2002",42773
"150390","2002",32868
"150400","2002",20214
"150405","2002",24562
"150410","2002",7769
"150420","2002",177352
"150430","2002",27991
"150440","2002",25692
"150442","2002",82095
"150445","2002",21735
"150450","2002",22437
"150460","2002",20972
"150470","2002",55583
"150480","2002",62041
"150490","2002",26119
"150495","2002",21469
"150497","2002",12573
"150500","2002",11822
"150503","2002",29018
"150506","2002",44610
"150510","2002",47370
"150520","2002",24194
"150530","2002",49945
