n,municipio1,uf1,municipio2,uf2,pass_ida,pass_volta,pass_total,passxkm,sheet
1,ANAPOLIS,GO,CAMPINAS,SP,2737,2882,5619,5008504,4110
2,ANAPOLIS,GO,CUIABA,MT,1514,1633,3147,3170961,4110
3,ANAPOLIS,GO,PALMAS,TO,755,640,1395,1136786,4110
4,ANAPOLIS,GO,PORTO VELHO,RO,191,316,507,1256093,4110
5,ANAPOLIS,GO,UBERABA,MG,1031,960,1991,1023772,4110
6,ANAPOLIS,GO,UBERLANDIA,MG,1043,1583,2626,1065893,4110
7,ANAPOLIS,GO,VITORIA DA CONQUISTA,BA,51,75,126,150444,4110
8,ARACAJU,SE,ANAPOLIS,GO,65,111,176,326621,4110
9,ARACAJU,SE,CAMPINA GRANDE,PB,3136,3083,6219,3533411,4110
10,ARACAJU,SE,CARUARU,PE,6001,5940,11941,5055703,4110
11,ARACAJU,SE,FOZ DO IGUACU,PR,145,119,264,890866,4110
12,ARACAJU,SE,GOIANIA,GO,597,928,1525,2899788,4110
13,ARACAJU,SE,ITABUNA,BA,10410,11452,21862,15323392,4110
14,ARACAJU,SE,JOAO PESSOA,PB,7241,6609,13850,8393100,4110
15,ARACAJU,SE,JUAZEIRO DO NORTE,CE,814,769,1583,1100818,4110
16,ARACAJU,SE,MACEIO,AL,23283,21700,44983,12724471,4110
17,ARACAJU,SE,NATAL,RN,3597,3460,7057,6053907,4110
18,ARACAJU,SE,PALMAS,TO,174,143,317,523779,4110
19,ARACATUBA,SP,ARAGUARI,MG,138,128,266,143454,4110
20,ARACATUBA,SP,CAMPO GRANDE,MS,3444,3327,6771,3183807,4110
21,ARACATUBA,SP,GOIANIA,GO,1053,962,2015,1413367,4110
22,ARACATUBA,SP,LONDRINA,PR,3003,3711,6714,2840022,4110
23,ARACATUBA,SP,MARINGA,PR,3177,3679,6856,2713605,4110
24,ARACATUBA,SP,PRES PRUDENTE,SP,6247,6021,12268,2561558,4110
25,ARACATUBA,SP,UBERLANDIA,MG,850,759,1609,762125,4110
26,ARAGUARI,MG,CAMPINAS,SP,4129,3630,7759,4266674,4110
27,BARBACENA,MG,ANAPOLIS,GO,13,25,38,39159,4110
28,BARBACENA,MG,BARRA MANSA,RJ,2293,3172,5465,1585943,4110
29,BARBACENA,MG,BRAGANCA PAULISTA,SP,1022,1198,2220,1052724,4110
30,BARBACENA,MG,CABO FRIO,RJ,1875,2114,3989,1610359,4110
31,BARBACENA,MG,CACHOEIRO DO ITAPEMIRIM,ES,294,360,654,283051,4110
32,BARBACENA,MG,CAMPINAS,SP,4335,6059,10394,6238820,4110
33,BARBACENA,MG,NITEROI,RJ,829,481,1310,372171,4110
34,BARBACENA,MG,PALMAS,TO,46,51,97,166539,4110
35,BARBACENA,MG,RESENDE,RJ,413,243,656,212085,4110
36,BARBACENA,MG,SAO JOSE DOS CAMPOS,SP,2422,2136,4558,2288829,4110
37,BARBACENA,MG,VITORIA,ES,1101,1147,2248,1295298,4110
38,BARRA MANSA,RJ,GOV VALADARES,MG,787,500,1287,795237,4110
39,BARRA MANSA,RJ,JUIZ DE FORA,MG,33663,28204,61867,13010630,4110
40,BARRA MANSA,RJ,POUSO ALEGRE,MG,832,712,1544,421512,4110
