Source,Dest,flowSD,flowDS,Distance,geoSource,geoDest
5201108,3509502,2737,2882,0,ANAPOLIS,CAMPINAS
5201108,5103403,1514,1633,0,ANAPOLIS,CUIABA
5201108,1721000,755,640,0,ANAPOLIS,PALMAS
5201108,1100205,191,316,0,ANAPOLIS,PORTO VELHO
5201108,3170107,1031,960,0,ANAPOLIS,UBERABA
5201108,3170206,1043,1583,0,ANAPOLIS,UBERLANDIA
5201108,2933307,51,75,0,ANAPOLIS,VITORIA DA CONQUISTA
2800308,5201108,65,111,0,ARACAJU,ANAPOLIS
2800308,2504009,3136,3083,0,ARACAJU,CAMPINA GRANDE
2800308,2604106,6001,5940,0,ARACAJU,CARUARU
2800308,4108304,145,119,0,ARACAJU,FOZ DO IGUACU
2800308,5208707,597,928,0,ARACAJU,GOIANIA
2800308,2914802,10410,11452,0,ARACAJU,ITABUNA
2800308,2507507,7241,6609,0,ARACAJU,JOAO PESSOA
2800308,2307304,814,769,0,ARACAJU,JUAZEIRO DO NORTE
2800308,2704302,23283,21700,0,ARACAJU,MACEIO
2800308,2408102,3597,3460,0,ARACAJU,NATAL
2800308,1721000,174,143,0,ARACAJU,PALMAS
3502804,3103504,138,128,0,ARACATUBA,ARAGUARI
3502804,5002704,3444,3327,0,ARACATUBA,CAMPO GRANDE
3502804,5208707,1053,962,0,ARACATUBA,GOIANIA
3502804,4113700,3003,3711,0,ARACATUBA,LONDRINA
3502804,4115200,3177,3679,0,ARACATUBA,MARINGA
3502804,3541406,6247,6021,0,ARACATUBA,PRES PRUDENTE
3502804,3170206,850,759,0,ARACATUBA,UBERLANDIA
3103504,3509502,4129,3630,0,ARAGUARI,CAMPINAS
3105608,5201108,13,25,0,BARBACENA,ANAPOLIS
3105608,3300407,2293,3172,0,BARBACENA,BARRA MANSA
3105608,3507605,1022,1198,0,BARBACENA,BRAGANCA PAULISTA
3105608,3300704,1875,2114,0,BARBACENA,CABO FRIO
3105608,3201209,294,360,0,BARBACENA,CACHOEIRO DO ITAPEMIRIM
3105608,3509502,4335,6059,0,BARBACENA,CAMPINAS
3105608,3303302,829,481,0,BARBACENA,NITEROI
3105608,1721000,46,51,0,BARBACENA,PALMAS
3105608,3304201,413,243,0,BARBACENA,RESENDE
3105608,3549904,2422,2136,0,BARBACENA,SAO JOSE DOS CAMPOS
3105608,3205309,1101,1147,0,BARBACENA,VITORIA
3300407,3127701,787,500,0,BARRA MANSA,GOV VALADARES
3300407,3136702,33663,28204,0,BARRA MANSA,JUIZ DE FORA
3300407,3152501,832,712,0,BARRA MANSA,POUSO ALEGRE
3300407,3549904,4771,2785,0,BARRA MANSA,SAO JOSE DOS CAMPOS
3300407,3168606,208,301,0,BARRA MANSA,TEOFILO OTONI
3300407,3170701,4572,3907,0,BARRA MANSA,VARGINHA
3505500,2800308,41,61,0,BARRETOS,ARACAJU
3505500,5002704,947,1160,0,BARRETOS,CAMPO GRANDE
3505500,5103403,178,142,0,BARRETOS,CUIABA
3505500,3127701,18,5,0,BARRETOS,GOV VALADARES
3505500,2704302,106,140,0,BARRETOS,MACEIO
3505500,1721000,427,180,0,BARRETOS,PALMAS
3505500,1100205,53,19,0,BARRETOS,PORTO VELHO
3505500,1200401,35,15,0,BARRETOS,RIO BRANCO
3505500,3168606,17,3,0,BARRETOS,TEOFILO OTONI
3505500,2933307,28,17,0,BARRETOS,VITORIA DA CONQUISTA
4202404,5002704,297,524,0,BLUMENAU,CAMPO GRANDE
4202404,4104808,3669,3574,0,BLUMENAU,CASCAVEL
4202404,4108304,3281,3448,0,BLUMENAU,FOZ DO IGUACU
3507605,3136702,327,450,0,BRAGANCA PAULISTA,JUIZ DE FORA
3201209,2914802,404,483,0,CACHOEIRO DO ITAPEMIRIM,ITABUNA
3201209,3303302,2579,2252,0,CACHOEIRO DO ITAPEMIRIM,NITEROI
3201209,3549904,245,271,0,CACHOEIRO DO ITAPEMIRIM,SAO JOSE DOS CAMPOS
3201209,2931350,26,13,0,CACHOEIRO DO ITAPEMIRIM,TEIXEIRA DE FREITAS
3201209,3306305,613,855,0,CACHOEIRO DO ITAPEMIRIM,VOLTA REDONDA
2504009,2604106,12390,12714,0,CAMPINA GRANDE,CARUARU
2504009,2914802,189,21,0,CAMPINA GRANDE,ITABUNA
2504009,2611101,2887,2846,0,CAMPINA GRANDE,PETROLINA
2504009,3549904,428,754,0,CAMPINA GRANDE,SAO JOSE DOS CAMPOS
2504009,3306305,104,127,0,CAMPINA GRANDE,VOLTA REDONDA
3509502,3300407,213,188,0,CAMPINAS,BARRA MANSA
3509502,4205407,1815,2101,0,CAMPINAS,FLORIANOPOLIS
3509502,4208203,1221,1139,0,CAMPINAS,ITAJAI
3509502,4209102,4421,4536,0,CAMPINAS,JOINVILLE
3509502,3136702,711,955,0,CAMPINAS,JUIZ DE FORA
3509502,3530706,38873,47715,0,CAMPINAS,MOGI-GUACU
3509502,1721000,695,451,0,CAMPINAS,PALMAS
3509502,4119905,6873,8033,0,CAMPINAS,PONTA GROSSA
3509502,1100205,141,88,0,CAMPINAS,PORTO VELHO
3509502,3304201,508,710,0,CAMPINAS,RESENDE
3509502,1200401,171,40,0,CAMPINAS,RIO BRANCO
3509502,2933307,3213,2332,0,CAMPINAS,VITORIA DA CONQUISTA
5002704,3103504,214,253,0,CAMPO GRANDE,ARAGUARI
5002704,3300407,1080,1014,0,CAMPO GRANDE,BARRA MANSA
5002704,3509502,14749,14766,0,CAMPO GRANDE,CAMPINAS
5002704,5103403,36919,36592,0,CAMPO GRANDE,CUIABA
5002704,5208707,14893,12778,0,CAMPO GRANDE,GOIANIA
5002704,3136702,90,101,0,CAMPO GRANDE,JUIZ DE FORA
5002704,4113700,1497,1013,0,CAMPO GRANDE,LONDRINA
5002704,1721000,1133,1141,0,CAMPO GRANDE,PALMAS
5002704,1100205,1091,661,0,CAMPO GRANDE,PORTO VELHO
5002704,1200401,191,460,0,CAMPO GRANDE,RIO BRANCO
5002704,5107602,15743,16834,0,CAMPO GRANDE,RONDONOPOLIS
5002704,3549805,6755,6513,0,CAMPO GRANDE,SAO JOSE DO RIO PRETO
5002704,3549904,8906,8860,0,CAMPO GRANDE,SAO JOSE DOS CAMPOS
5002704,3170206,2855,2589,0,CAMPO GRANDE,UBERLANDIA
2604106,2507507,186,188,0,CARUARU,JOAO PESSOA
2604106,2918407,4091,4163,0,CARUARU,JUAZEIRO
2604106,2307304,6328,5939,0,CARUARU,JUAZEIRO DO NORTE
2604106,2704302,11573,11521,0,CARUARU,MACEIO
2604106,2408102,2080,3097,0,CARUARU,NATAL
2604106,2111300,3278,3294,0,CARUARU,SAO LUIS
2604106,2211001,574,583,0,CARUARU,TERESINA
4104808,3300407,141,177,0,CASCAVEL,BARRA MANSA
4104808,3509502,3770,4018,0,CASCAVEL,CAMPINAS
4104808,5002704,11544,13726,0,CASCAVEL,CAMPO GRANDE
4104808,5103403,7170,8055,0,CASCAVEL,CUIABA
4104808,3136702,117,99,0,CASCAVEL,JUIZ DE FORA
4104808,1721000,200,213,0,CASCAVEL,PALMAS
4104808,1100205,200,210,0,CASCAVEL,PORTO VELHO
4104808,3541406,3513,9229,0,CASCAVEL,PRES PRUDENTE
4104808,3304201,87,81,0,CASCAVEL,RESENDE
4104808,1200401,97,91,0,CASCAVEL,RIO BRANCO
4104808,5107602,1389,1818,0,CASCAVEL,RONDONOPOLIS
4104808,3549904,1836,2392,0,CASCAVEL,SAO JOSE DOS CAMPOS
4104808,3170206,201,332,0,CASCAVEL,UBERLANDIA
4104808,3306305,47,44,0,CASCAVEL,VOLTA REDONDA
4204202,5201108,17,25,0,CHAPECO,ANAPOLIS
4204202,3509502,331,513,0,CHAPECO,CAMPINAS
4204202,4104808,1955,2364,0,CHAPECO,CASCAVEL
4204202,4108304,1301,1004,0,CHAPECO,FOZ DO IGUACU
4204202,5208707,116,270,0,CHAPECO,GOIANIA
4204202,1721000,47,48,0,CHAPECO,PALMAS
4204202,3541406,762,85,0,CHAPECO,PRES PRUDENTE
4204202,3549805,159,132,0,CHAPECO,SAO JOSE DO RIO PRETO
4204202,3170206,51,34,0,CHAPECO,UBERLANDIA
3201506,3300407,154,118,0,COLATINA,BARRA MANSA
