lat,long,name,pop,geocode
-16.290695576991336,-48.97355109783218,ANAPOLIS,293475,5201108
-10.994419444861188,-37.09489691305089,ARACAJU,473991,2800308
-21.113764710623762,-50.57454569465348,ARACATUBA,172768,3502804
-18.577078165709263,-48.222027189751735,ARAGUARI,104223,3103504
-21.2514934677849,-43.80058614178976,BARBACENA,117108,3105608
-22.50585761789787,-44.18836408406309,BARRA MANSA,172290,3300407
-20.514152165968586,-48.65199679972846,BARRETOS,105701,3505500
-26.885691676985846,-49.097319568407684,BLUMENAU,272283,4202404
-22.938411239455455,-46.55604943569522,BRAGANCA PAULISTA,130323,3507605
-20.766105779234696,-41.19100363791211,CACHOEIRO DO ITAPEMIRIM,181504,3201209
-7.263556399355435,-35.96553832099321,CAMPINA GRANDE,362317,2504009
-22.883749173022473,-47.04384778653145,CAMPINAS,995024,3509502
-20.913581092004776,-54.24945575879046,CAMPO GRANDE,692549,5002704
-8.180483742852802,-36.016622410041165,CARUARU,262037,2604106
-25.02937098765911,-53.3797126987861,CASCAVEL,256390,4104808
-27.125140773166834,-52.65032895954134,CHAPECO,154453,4204202
-19.4881792881035,-40.65678005829314,COLATINA,105794,3201506
-7.235591696276648,-39.48990325565852,CRATO,107618,2304202
-28.715684298893994,-49.37977452786752,CRICIUMA,175491,4204608
-15.452405856701967,-55.955467318247024,CUIABA,500288,5103403
-27.577916543812673,-48.508173621823396,FLORIANOPOLIS,360601,4205407
-25.466563129415494,-54.483400853835015,FOZ DO IGUACU,272939,4108304
-8.929159411435405,-36.501057086489666,GARANHUNS,120781,2606002
-16.643368372582596,-49.274209683056434,GOIANIA,1129274,5208707
-18.783457511163867,-41.963563051522385,GOV VALADARES,250625,3127701
-14.851439103592812,-39.31275167282274,ITABUNA,199073,2914802
-26.969023269698116,-48.753387618967125,ITAJAI,153357,4208203
-7.165433776510466,-34.86941808469572,JOAO PESSOA,619049,2507507
-26.244299259294053,-48.95144126545722,JOINVILLE,453766,4209102
-9.556866804190216,-40.27466311092515,JUAZEIRO,184204,2918407
-7.1827642987496265,-39.28607766876726,JUAZEIRO DO NORTE,220248,2307304
-21.745491706962333,-43.46476563714024,JUIZ DE FORA,471693,3136702
-28.020420702795835,-50.34054199055965,LAGES,160771,4209300
-23.514227478890863,-51.11044834806267,LONDRINA,460909,4113700
-9.522485224313854,-35.71140419264677,MACEIO,833261,2704302
-23.400938330951057,-51.96778227519492,MARINGA,298828,4115200
-5.175845512670497,-37.32549705900887,MOSSORO,218380,2408003
-5.803193354407864,-35.228632813417526,NATAL,734505,2408102
-22.914918468074728,-43.05544535557931,NITEROI,464353,3303302
-10.220184111962256,-48.15202104518427,PALMAS,161137,1721000
-2.9589954989270884,-41.753423872050725,PARNAIBA,135525,2207702
-28.268901348858353,-52.45250172739685,PASSO FUNDO,174107,4314100
-18.597031634217682,-46.50780897165449,PATOS DE MINAS,128286,3148004
-9.019770421796052,-40.572329643808914,PETROLINA,230342,2611101
-25.13971223249627,-50.0808340287972,PONTA GROSSA,282542,4119905
-9.153587992320098,-64.3068028068779,PORTO VELHO,347844,1100205
-22.264845179716254,-45.9399513279944,POUSO ALEGRE,112024,3152501
-21.993193585836895,-51.343128355659026,PRES PRUDENTE,194173,3541406
-22.440649990984195,-44.48532310075791,RESENDE,108870,3304201
-16.567017804034062,-54.68810269347559,RONDONOPOLIS,155803,5107602
-20.79734585897009,-49.358058864590426,SAO JOSE DO RIO PRETO,374745,3549805
-23.09057963678824,-45.92856073067572,SAO JOSE DOS CAMPOS,559710,3549904
-2.6336591522123616,-44.28089484066292,SAO LUIS,906567,2111300
-17.424093535330012,-39.786871768314576,TEIXEIRA DE FREITAS,112077,2931350
-17.71459740771835,-41.38366364683094,TEOFILO OTONI,128885,3168606
-5.102544998717199,-42.74060650083926,TERESINA,740016,2211001
-19.580913886861858,-47.97715124941616,UBERABA,261457,3170107
-19.02774891517361,-48.33174969292657,UBERLANDIA,529441,3170206
-20.30401586674006,-39.08730308505173,VITORIA,299357,3205309
-15.022264075599345,-40.91309542376703,VITORIA DA CONQUISTA,270364,2933307
-22.490587167409323,-44.08888367976922,VOLTA REDONDA,246641,3306305
-22.71180178289418,-42.056932648601105,CABO FRIO,137863,3300704
-21.557485981013173,-45.409146380170455,VARGINHA,113411,3170701
-10.066023484961093,-68.37092629199074,RIO BRANCO,267740,1200401
-22.232073787409497,-47.028987374344226,MOGI-GUACU,129162,3530706
-20.555246908628988,-47.381055897314056,FRANCA,299233,3516200
