NOME_ORIGEM,NOME_DEST,flowOD,flowDO,Dist,COD_ORIGEM,COD_DESTINO
Santo Cristo 1,4551308,61,0,1,4550601,4551308
Santo Cristo 1,4551309,104,0,1,4550601,4551309
Santo Cristo 1,4551310,220,0,1,4550601,4551310
Santo Cristo 1,4550801,37,0,1,4550601,4550801
Santo Cristo 1,4550802,68,0,1,4550601,4550802
Santo Cristo 1,4550803,73,0,1,4550601,4550803
Santo Cristo 1,4550804,65,0,1,4550601,4550804
Santo Cristo 1,4550805,39,0,1,4550601,4550805
Santo Cristo 1,4550806,56,0,1,4550601,4550806
Santo Cristo 1,4552601,58,0,1,4550601,4552601
Santo Cristo 1,4550701,112,0,1,4550601,4550701
Santo Cristo 1,4550702,101,0,1,4550601,4550702
Santo Cristo 1,4550703,79,0,1,4550601,4550703
Santo Cristo 1,4550704,128,0,1,4550601,4550704
Santo Cristo 1,4550705,89,0,1,4550601,4550705
Santo Cristo 1,4550706,108,0,1,4550601,4550706
Santo Cristo 1,4550707,103,0,1,4550601,4550707
Santo Cristo 1,4550708,128,0,1,4550601,4550708
Santo Cristo 1,4550709,91,0,1,4550601,4550709
Santo Cristo 1,4550710,65,0,1,4550601,4550710
Santo Cristo 1,4550711,58,0,1,4550601,4550711
Santo Cristo 1,4550602,11,0,1,4550601,4550602
Santo Cristo 1,4551105,157,0,1,4550601,4551105
Santo Cristo 1,4551106,277,0,1,4550601,4551106
Santo Cristo 1,4551107,267,0,1,4550601,4551107
Santo Cristo 1,4551108,282,0,1,4550601,4551108
Santo Cristo 1,4550601,2747,0,1,4550601,4550601
Santo Cristo 1,4551114,230,0,1,4550601,4551114
Santo Cristo 1,4550603,30,0,1,4550601,4550603
Santo Cristo 1,4550604,15,0,1,4550601,4550604
Santo Cristo 1,4550605,60,0,1,4550601,4550605
Santo Cristo 1,4553301,104,0,1,4550601,4553301
Santo Cristo 1,4551001,106,0,1,4550601,4551001
Santo Cristo 1,4552802,30,0,1,4550601,4552802
Santo Cristo 1,4552803,30,0,1,4550601,4552803
Santo Cristo 1,4550902,19,0,1,4550601,4550902
Santo Cristo 1,4550904,253,0,1,4550601,4550904
Santo Cristo 1,4550906,169,0,1,4550601,4550906
Santo Cristo 1,4550908,377,0,1,4550601,4550908
Santo Cristo 1,4550909,310,0,1,4550601,4550909
Santo Cristo 2,4551308,87,0,1,4550602,4551308
Santo Cristo 2,4551309,137,0,1,4550602,4551309
Santo Cristo 2,4551310,243,0,1,4550602,4551310
Santo Cristo 2,4550801,53,0,1,4550602,4550801
Santo Cristo 2,4550802,72,0,1,4550602,4550802
Santo Cristo 2,4550803,108,0,1,4550602,4550803
Santo Cristo 2,4550804,86,0,1,4550602,4550804
Santo Cristo 2,4550805,53,0,1,4550602,4550805
Santo Cristo 2,4550806,66,0,1,4550602,4550806
Santo Cristo 2,4552601,106,0,1,4550602,4552601
Santo Cristo 2,4550701,176,0,1,4550602,4550701
Santo Cristo 2,4550702,143,0,1,4550602,4550702
Santo Cristo 2,4550703,91,0,1,4550602,4550703
Santo Cristo 2,4550704,164,0,1,4550602,4550704
Santo Cristo 2,4550705,90,0,1,4550602,4550705
Santo Cristo 2,4550706,117,0,1,4550602,4550706
Santo Cristo 2,4550707,108,0,1,4550602,4550707
Santo Cristo 2,4550708,154,0,1,4550602,4550708
Santo Cristo 2,4550709,135,0,1,4550602,4550709
Santo Cristo 2,4550710,73,0,1,4550602,4550710
Santo Cristo 2,4550711,69,0,1,4550602,4550711
Santo Cristo 2,4550602,3445,0,1,4550602,4550602
Santo Cristo 2,4551105,171,0,1,4550602,4551105
Santo Cristo 2,4551106,376,0,1,4550602,4551106
Santo Cristo 2,4551107,301,0,1,4550602,4551107
Santo Cristo 2,4551108,318,0,1,4550602,4551108
Santo Cristo 2,4551114,248,0,1,4550602,4551114
Santo Cristo 2,4550603,31,0,1,4550602,4550603
Santo Cristo 2,4550604,22,0,1,4550602,4550604
Santo Cristo 2,4550605,55,0,1,4550602,4550605
Santo Cristo 2,4553301,120,0,1,4550602,4553301
Santo Cristo 2,4551001,147,0,1,4550602,4551001
Santo Cristo 2,4552802,41,0,1,4550602,4552802
Santo Cristo 2,4552803,58,0,1,4550602,4552803
Santo Cristo 2,4550902,19,0,1,4550602,4550902
Santo Cristo 2,4550904,272,0,1,4550602,4550904
Santo Cristo 2,4550906,220,0,1,4550602,4550906
Santo Cristo 2,4550908,463,0,1,4550602,4550908
Santo Cristo 2,4550909,380,0,1,4550602,4550909
Rodoviaria,4551308,14,0,1,4550603,4551308
Rodoviaria,4551309,20,0,1,4550603,4551309
Rodoviaria,4551310,49,0,1,4550603,4551310
Rodoviaria,4550801,7,0,1,4550603,4550801
Rodoviaria,4550802,22,0,1,4550603,4550802
Rodoviaria,4550803,16,0,1,4550603,4550803
Rodoviaria,4550804,26,0,1,4550603,4550804
Rodoviaria,4550805,10,0,1,4550603,4550805
Rodoviaria,4550806,16,0,1,4550603,4550806
Rodoviaria,4552601,14,0,1,4550603,4552601
Rodoviaria,4550701,28,0,1,4550603,4550701
Rodoviaria,4550702,27,0,1,4550603,4550702
Rodoviaria,4550703,29,0,1,4550603,4550703
Rodoviaria,4550704,33,0,1,4550603,4550704
Rodoviaria,4550705,30,0,1,4550603,4550705
Rodoviaria,4550706,31,0,1,4550603,4550706
Rodoviaria,4550707,18,0,1,4550603,4550707
Rodoviaria,4550708,23,0,1,4550603,4550708
Rodoviaria,4550709,31,0,1,4550603,4550709
Rodoviaria,4550710,14,0,1,4550603,4550710
Rodoviaria,4550711,16,0,1,4550603,4550711
Rodoviaria,4550602,3,0,1,4550603,4550602
Rodoviaria,4551105,39,0,1,4550603,4551105
Rodoviaria,4551106,79,0,1,4550603,4551106
Rodoviaria,4551107,55,0,1,4550603,4551107
Rodoviaria,4551108,71,0,1,4550603,4551108
Rodoviaria,4551114,53,0,1,4550603,4551114
Rodoviaria,4550603,700,0,1,4550603,4550603
Rodoviaria,4550604,7,0,1,4550603,4550604
Rodoviaria,4550605,17,0,1,4550603,4550605
Rodoviaria,4553301,30,0,1,4550603,4553301
Rodoviaria,4551001,28,0,1,4550603,4551001
Rodoviaria,4552802,10,0,1,4550603,4552802
