"latitude","longitude","localidade","populacao.urb.","geocodigo","Area","b"
-16:19:41,-48:57:10,"ANÁPOLIS",280164,520110805,918,2.38549933357097e-06
-10:54:32,-37:04:03,"ARACAJU",461534,280030805,174,2.58682758889224e-06
-21:12:27,-50:26:24,"ARAÇATUBA",164449,350280405,1167,3.84041670288786e-06
-18:38:44,-48:11:36,"Araguari",92748,310350405,2730,6.55110457515464e-06
-21:13:17,-43:46:12,"Barbacena",103669,310560805,788,6.07185300872652e-06
-22:32:53,-44:10:30,"BARRA MANSA",165134,330040705,547,4.04255366643742e-06
-20:33:11,-48:34:11,"Barretos",98860,350550005,1563,6.21238439011584e-06
-26:54:55,-49:04:15,"BLUMENAU",241943,420240405,519,2.91080132215384e-06
-22:57:09,-46:32:30,"Bragança Paulista",111091,350760505,513,5.83706035131089e-06
-20:50:46,-41:07:11,"Cachoeiro de Itapemirim",155401,320120905,876,4.11642594841277e-06
-07:13:19,-35:52:23,"CAMPINA GRANDE",337484,250400905,620,2.13877043839421e-06
-22:54:19,-47:03:57,"CAMPINAS",953218,350950205,795,9.10953385232283e-07
-20:26:54,-54:37:46,"CAMPO GRANDE",655914,500270405,8096,9.4242043638273e-07
-08:17:04,-35:58:11,"CARUARU",217407,260410605,920,3.00310025306096e-06
-24:57:26,-53:27:32,"CASCAVEL",228673,410480805,2100,2.7304831106723e-06
-27:06:01,-52:36:54,"Chapecó",134592,420420205,624,4.81667123859308e-06
-19:32:57,-40:37:36,"Colatina",91298,320150605,1423,6.72919608340372e-06
-07:12:55,-39:24:37,"Crato",83917,230420205,1009,7.37179121520475e-06
-28:40:20,-49:22:22,"CRICIÚMA",153049,420460805,235,4.87086093275408e-06
-15:36:03,-56:05:50,"CUIABÁ",476532,510340305,3538,1.32240365970970e-06
-27:35:40,-48:32:51,"FLORIANÓPOLIS",332185,420540705,433,2.32313647955094e-06
-25:32:33,-54:34:57,"FOZ DO IGUAÇU",256524,410830405,617,2.70157728049627e-06
-08:52:56,-36:29:47,"Garanhuns",103435,260600205,472,6.27478277409068e-06
-16:41:11,-49:15:51,"GOIANIA",1093007,520870705,739,8.51846425169445e-07
-18:51:16,-41:57:19,"GOVERNADOR VALADARES",236098,312770105,2348,2.63670249195060e-06
-14:47:15,-39:16:41,"ITABUNA",191184,291480205,443,3.64371747886771e-06
-26:54:36,-48:40:13,"ITAJAÍ",141950,420820305,289,5.00116305331106e-06
-07:06:54,-34:51:50,"JOÃO PESSOA",597934,250750705,210,2.06722865280664e-06
-26:18:16,-48:50:55,"JOINVILLE",414972,420910205,1130,1.64395012232834e-06
-09:24:58,-40:30:11,"Juazeiro",133278,291840705,6389,4.53689136059738e-06
-07:11:46,-39:18:27,"JUAZEIRO DO NORTE",202227,230730405,248,3.8680760253504e-06
-21:45:34,-43:20:23,"JUIZ DE FORA",453002,313670205,1436,1.48038912118604e-06
-27:48:53,-50:19:33,"LAGES",153582,420930005,2644,3.99139210811184e-06
-23:18:14,-51:10:08,"LONDRINA",433369,411370005,1650,1.52018779342544e-06
-09:38:57,-35:42:31,"MACEIÓ",795804,270430205,510,1.1925889590092e-06
-23:25:13,-51:55:59,"MARINGÁ",283978,411520005,487,2.5718965235237e-06
-05:11:01,-37:20:50,"Mossoró",199081,240800305,2110,3.11998347981612e-06
-05:47:36,-35:11:54,"NATAL",712317,240810205,170,2.15750822700516e-06
-22:52:59,-43:06:12,"Niterói",459451,330330205,129,3.03703877579311e-06
-10:12:50,-48:24:03,"PALMAS",134179,172100005,2218,4.57255414721809e-06
-02:54:21,-41:46:31,"PARNAÍBA",124988,220770205,435,5.31467662419027e-06
-28:15:27,-52:24:32,"PASSO FUNDO",163764,431410005,780,3.95082888607181e-06
-18:34:11,-46:30:04,"Patos de Minas",111333,314800405,3189,5.4594304837658e-06
-09:23:19,-40:30:09,"Petrolina",166279,261110105,4558,3.65750992611762e-06
-25:05:29,-50:10:00,"PONTA GROSSA",266683,411990505,2067,2.35819396643651e-06
-08:45:38,-63:53:59,"PORTO VELHO",273709,110020505,34082,2.19867345072657e-06
-22:13:35,-45:56:20,"Pouso Alegre",97756,315250105,543,6.54950813681596e-06
-22:07:14,-51:23:33,"PRESIDENTE PRUDENTE",185229,354140605,562,3.63770364813423e-06
-22:28:13,-44:27:03,"Resende",95963,330420105,1113,6.45350828898996e-06
-16:28:02,-54:38:13,"Rondonópolis",141838,510760205,4165,4.28392671490778e-06
-20:48:40,-49:22:32,"SÃO JOSÉ DO RIO PRETO",337289,354980505,431,2.29821297228723e-06
-23:11:22,-45:53:02,"SÃO JOSÉ DOS CAMPOS",532717,354990405,1099,1.33000398597689e-06
-02:32:19,-44:16:57,"SÃO LUÍS",837584,211130005,827,9.87151172785428e-07
-17:32:23,-39:44:23,"Teixeira de Freitas",98688,293135005,1153,6.27384516290759e-06
-17:51:34,-41:30:31,"Teófilo Otoni",102812,316860605,3242,5.9049135136295e-06
-05:05:30,-42:48:12,"TERESINA",677470,221100105,1755,1.01322999104054e-06
-19:44:49,-47:56:17,"UBERABA",244171,317010705,4512,2.50692799577168e-06
-18:54:50,-48:16:29,"UBERLÂNDIA",488982,317020605,4115,1.28146043625801e-06
-20:18:55,-40:18:46,"VITÓRIA",292304,320530905,93,4.45091581026942e-06
-14:51:41,-40:50:38,"VITÓRIA DA CONQUISTA",225545,293330705,3204,2.73011794118290e-06
-22:31:12,-44:05:58,"Volta Redonda",241996,330630505,182,3.70786660295384e-06
-01:27:19,-48:29:23,"BELÉM",1272354,150140205,1064,6.81907471005072e-07
-19:54:36,-43:55:35,"BELO HORIZONTE",2238526,310620005,330,9.44823871093004e-07
-25:25:10,-49:15:52,"CURITIBA",1587315,410690205,434,8.9295464789636e-07
-03:42:59,-38:32:32,"FORTALEZA",2141402,230440005,313,9.95479611969507e-07
-30:01:54,-51:12:23,"PORTO ALEGRE",1320739,431490205,496,9.05133962812066e-07
-08:02:47,-34:52:37,"RECIFE",1422905,261160605,217,1.45149139701584e-06
-12:58:18,-38:30:03,"SALVADOR",2442102,292740805,706,5.62602764150988e-07
-15:46:46,-47:55:46,"BRASÍLIA",1961499,530010805,5801,3.44496023523888e-07
-22:54:46,-43:12:01,"RIO DE JANEIRO",5857904,330455705,1182,2.91884368444251e-07
-23:31:58,-46:38:22,"SÃO PAULO",9813187,355030800,1522,2.08219773190788e-07
-22:53:21,-42:01:42,"Cabo Frio",106237,330070405,400,6.20670288717289e-06
-21:33:20,-45:26:11,"Varginha",104165,317070105,395,6.3261722124639e-06
-09:58:29,-67:49:27,"RIO BRANCO",226298,120040105,9222,2.67564770777211e-06
-22:22:02,-46:56:34,"Mogi Guaçu",116184,353070605,813,5.43964822503069e-06
-20:32:06,-47:24:13,"FRANCA",282203,351620005,607,2.49493570600619e-06
