lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA
685271.205900267,7466409.08645241,Santo Cristo 1,7374,4550601,2038,1
684340.169284381,7465966.70979739,Santo Cristo 2,9094,4550602,2849,1
684245.138163926,7466551.7510081,Rodoviaria,1871,4550603,606,1
685478.530181567,7466968.64758858,Santo Cristo,2436,4550604,813,1
686242.794706652,7466715.04639549,Praca Maua,2104,4550605,714,1
682394.468745664,7468839.68210949,Caju,17848,4550606,5227,1
686394.874530309,7465868.27552842,Av.Passos,505,4550701,264,2
686208.631000013,7466308.33537475,Mal.Floriano,1589,4550702,645,2
687227.352309469,7466703.56760206,Candelaria,206,4550703,144,2
687116.067515332,7466022.29196818,1o. de marco,47,4550704,19,2
688062.056658056,7465354.1428371,Aerop.S.Dumont,187,4550705,137,2
687260.911785804,7465369.76271038,Alm. Barroso,239,4550706,111,2
686935.320643893,7464942.3423338,Passeio Publico,3260,4550707,1429,2
686618.460804342,7465347.0119812,Av. Chile,1457,4550708,751,2
685901.354223555,7465046.34055879,Cruz Vermelha,29674,4550709,12461,2
685445.492687822,7465536.23071078,Praca da Republica,4491,4550710,1928,2
685344.267054284,7465956.87278762,Central do Brasil,584,4550711,281,2
684781.854112632,7465099.70183175,Sambodromo,4199,4550801,1393,3
684304.565661746,7465408.03233984,Piranhao,1639,4550802,532,3
684172.447784834,7464576.72070422,Estacio,21676,4550803,9123,3
683233.051494852,7463233.64239297,Rio Comprido 1,15601,4550804,5222,3
684168.922224835,7463125.024031,Rio Comprido 2,13733,4550805,4467,3
684061.109427917,7463917.76499902,Campos da Paz,11652,4550806,3633,3
684882.213136583,7464232.95935205,Catumbi,12595,4550807,3849,3
687359.650714597,7464749.78599974,MAM,1303,4550901,576,4
687297.34534942,7463976.81028516,Gloria,10896,4550902,4710,4
686611.107536286,7463451.15826453,Catete,22532,4550903,8880,4
686410.861301624,7462687.5696308,Sao Salvador,19419,4550904,7305,4
686961.696942337,7462653.03169994,Largo do Machado,38069,4550905,15227,4
687355.607191468,7462498.60068269,Morro da Viuva,16440,4550906,6378,4
685839.989011151,7462702.67214665,Rua das Laranjeiras,14626,4550907,5232,4
685323.98342933,7462173.726217,General Glicerio,15326,4550908,5341,4
684480.443446175,7461847.51116928,Cosme Velho,9692,4550909,2887,4
685243.553392178,7460911.20572803,Dona Marta,19706,4550910,6930,4
684407.526927793,7460366.57756567,Humaita,15603,4550911,6010,4
685799.886989997,7460021.56006846,Gal. Polidoro,22886,4550912,8769,4
686930.337545002,7460345.52986379,Venceslau Braz,11073,4550913,4372,4
686217.762915412,7461432.14530847,Praia de Botafogo,25965,4550914,11016,4
688464.30760715,7460784.89583514,Urca,6684,4550915,2323,4
687907.866512917,7459530.81149357,Leme,13360,4551001,5204,5
686718.567932342,7459283.94022429,Lido,41056,4551002,17309,5
685532.461063328,7458858.92569376,Siqueira Campos,55718,4551003,22682,5
685357.451876659,7458032.396078,Bolivar,26619,4551004,11364,5
685380.164868658,7457240.08187164,Sousa Lima,32083,4551005,12370,5
685107.486968007,7456836.00189196,Arpoador,11394,4551101,4592,6
684519.343513342,7457276.20623467,Farme de Amoedo,13915,4551102,5385,6
683914.070731475,7457143.43323824,Praca N.S. Paz,12224,4551103,4780,6
683259.13215358,7457138.54294164,Jardim de Alah,9540,4551104,3807,6
684395.437393303,7458400.69146831,Morro da Catacumba,7183,4551105,2577,6
684367.331643075,7459346.26841974,Fonte da Saudade,7959,4551106,2861,6
683232.59397585,7459806.76586089,Parque Lage,9095,4551107,3509,6
683377.292715121,7459492.86934318,Hipica,3063,4551108,1014,6
681604.245398036,7459114.64908761,Jardim Botanico,9403,4551109,3091,6
682693.269335165,7458304.33923372,Joquei,3088,4551110,1058,6
682503.829707816,7457322.06639645,Carlos Gois,23965,4551111,8981,6
681591.119888256,7457120.39574982,Leblon,23771,4551112,9122,6
680433.551988028,7457357.75479896,Gavea,17278,4551113,6273,6
680311.90572041,7455994.22771232,Vidigal,12052,4551114,3655,6
677437.428430049,7456378.5145208,Sao Conrado,10185,4551115,3153,6
682382.356160646,7466265.59880273,Fonseca Teles,6832,4551201,2266,7
682247.719806256,7466766.60853654,Campo S.Cristovao,3459,4551202,1171,7
681992.276326658,7467517.08287688,Rua Bela,11927,4551203,3667,7
682780.654070244,7467221.77125189,Praia Formosa,1041,4551204,351,7
683193.487609493,7466498.84637864,Rua Escobar,879,4551205,340,7
683300.13693671,7465916.60765198,Francisco Eugenio,409,4551206,158,7
682040.646094391,7465770.88000416,Quinta Boa Vista,3444,4551207,2173,7
