latitude,longitude,localidade,populacao urb.,geocodigo
-16:19:41,-48:57:10,ANÁPOLIS,280164,520110805
-10:54:32,-37:04:03,ARACAJU,461534,280030805
-21:12:27,-50:26:24,ARAÇATUBA,164449,350280405
-18:38:44,-48:11:36,Araguari,92748,310350405
-21:13:17,-43:46:12,Barbacena,103669,310560805
-22:32:53,-44:10:30,BARRA MANSA,165134,330040705
-20:33:11,-48:34:11,Barretos,98860,350550005
-26:54:55,-49:04:15,BLUMENAU,241943,420240405
-22:57:09,-46:32:30,Bragança Paulista,111091,350760505
-20:50:46,-41:07:11,Cachoeiro de Itapemirim,155401,320120905
-7:13:19.,-35:52:23,CAMPINA GRANDE,337484,250400905
-22:54:19,-47:03:57,CAMPINAS,953218,350950205
-20:26:54,-54:37:46,CAMPO GRANDE,655914,500270405
-8:17:04.,-35:58:11,CARUARU,217407,260410605
-24:57:26,-53:27:32,CASCAVEL,228673,410480805
-27:06:01,-52:36:54,Chapecó,134592,420420205
-19:32:57,-40:37:36,Colatina,91298,320150605
-7:12:55.,-39:24:37,Crato,83917,230420205
-28:40:20,-49:22:22,CRICIÚMA,153049,420460805
-15:36:03,-56:05:50,CUIABÁ,476532,510340305
-27:35:40,-48:32:51,FLORIANÓPOLIS,332185,420540705
-25:32:33,-54:34:57,FOZ DO IGUAÇU,256524,410830405
-8:52:56.,-36:29:47,Garanhuns,103435,260600205
-16:29:41,-49:25:37,Goianira,18064,520880605
-18:51:16,-41:57:19,GOVERNADOR VALADARES,236098,312770105
-14:47:15,-39:16:41,ITABUNA,191184,291480205
-26:54:36,-48:40:13,ITAJAÍ,141950,420820305
-7:06:54.,-34:51:50,JOÃO PESSOA,597934,250750705
-26:18:16,-48:50:55,JOINVILLE,414972,420910205
-9:24:58.,-40:30:11,Juazeiro,133278,291840705
-7:11:46.,-39:18:27,JUAZEIRO DO NORTE,202227,230730405
-21:45:34,-43:20:23,JUIZ DE FORA,453002,313670205
-27:48:53,-50:19:33,LAGES,153582,420930005
-23:18:14,-51:10:08,LONDRINA,433369,411370005
-9:38:57.,-35:42:31,MACEIÓ,795804,270430205
-23:25:13,-51:55:59,MARINGÁ,283978,411520005
-5:11:01.,-37:20:50,Mossoró,199081,240800305
-5:47:36,-35:11:54,NATAL,712317,240810205
-22:52:59,-43:06:12,Niterói,459451,330330205
-10:12:50,-48:24:03,PALMAS,134179,172100005
-2:54:21.,-41:46:31,PARNAÍBA,124988,220770205
-28:15:27,-52:24:32,PASSO FUNDO,163764,431410005
-18:34:11,-46:30:04,Patos de Minas,111333,314800405
-9:23:19.,-40:30:09,Petrolina,166279,261110105
-25:05:29,-50:10:00,PONTA GROSSA,266683,411990505
-8:45:38.,-63:53:59,PORTO VELHO,273709,110020505
-22:13:35,-45:56:20,Pouso Alegre,97756,315250105
-22:07:14,-51:23:33,PRESIDENTE PRUDENTE,185229,354140605
-22:28:13,-44:27:03,Resende,95963,330420105
-16:28:02,-54:38:13,Rondonópolis,141838,510760205
-20:48:40,-49:22:32,SÃO JOSÉ DO RIO PRETO,337289,354980505
-23:11:22,-45:53:02,SÃO JOSÉ DOS CAMPOS,532717,354990405
-2:32:19.,-44:16:57,SÃO LUÍS,837584,211130005
-17:32:23,-39:44:23,Teixeira de Freitas,98688,293135005
-17:51:34,-41:30:31,Teófilo Otoni,102812,316860605
-5:05:30.,-42:48:12,TERESINA,677470,221100105
-19:44:49,-47:56:17,UBERABA,244171,317010705
-18:54:50,-48:16:29,UBERLÂNDIA,488982,317020605
-20:18:55,-40:18:46,VITÓRIA,292304,320530905
-14:51:41,-40:50:38,VITÓRIA DA CONQUISTA,225545,293330705
-22:31:12,-44:05:58,Volta Redonda,241996,330630505
-1:27:19.,-48:29:23,BELÉM,1272354,150140205
-19:54:36,-43:55:35,BELO HORIZONTE,2238526,310620005
-25:25:10,-49:15:52,CURITIBA,1587315,410690205
-3:42:59.,-38:32:32,FORTALEZA,2141402,230440005
-30:01:54,-51:12:23,PORTO ALEGRE,1320739,431490205
-8:02:47.,-34:52:37,RECIFE,1422905,261160605
-12:58:18,-38:30:03,SALVADOR,2442102,292740805
-15:46:46,-47:55:46,BRASÍLIA,1961499,530010805
-22:54:46,-43:12:01,RIO DE JANEIRO,5857904,330455705
-23:31:58,-46:38:22,SÃO PAULO,9813187,355030800
-22:53:21,-42:01:42,Cabo Frio,106237,330070405
-21:33:20,-45:26:11,Varginha,104165,317070105
-9:58:29.,-67:49:27,RIO BRANCO,226298,120040105
-22:22:02,-46:56:34,Mogi Guaçu,116184,353070605
-20:32:06,-47:24:13,FRANCA,282203,351620005
