"nomeZTor","nomeZTdest","flowOD","flowDO","FE","COD_ORIGEM","COD_DESTINO"
"Barra 1","Santo Cristo 1",479.64,0,40,4550601,4552907
"Olaria 1","Santo Cristo 1",53.6,0,40,4550601,4551508
"Praca Maua","Santo Cristo 1",614.17,0,10,4550601,4550605
"Santo Cristo 1","Santo Cristo 1",125.64,0,40,4550601,4550601
"Santo Cristo","Santo Cristo 1",278.21,0,40,4550601,4550604
"Passeio Publico","Santo Cristo 1",328.3,0,40,4550601,4550707
"Santo Cristo 2","Santo Cristo 1",422.09,0,10,4550601,4550602
"Rua das Laranjeiras","Santo Cristo 1",162.66,0,20,4550601,4550907
"Madureira","Santo Cristo 1",151.86,0,40,4550601,4552012
"Hipica","Santo Cristo 1",302.69,0,20,4550601,4551108
"Mal.Floriano","Santo Cristo 1",66.68,0,15,4550601,4550702
"Santo Cristo","Santo Cristo 1",88.83,0,0,4550601,4550604
"General Glicerio","Santo Cristo 1",57.5,0,2,4550601,4550908
"Santo Cristo 1","Santo Cristo 1",393.55,0,10,4550601,4550601
"Cruz Vermelha","Santo Cristo 1",110.51,0,40,4550601,4550709
"Rodoviaria","Santo Cristo 1",913.47,0,40,4550601,4550603
"Catete","Santo Cristo 1",260.71,0,20,4550601,4550903
"Alm. Barroso","Santo Cristo 1",363.21,0,20,4550601,4550706
"Fonseca Teles","Santo Cristo 1",70.89,0,20,4550601,4551201
"Cruz Vermelha","Santo Cristo 1",103.88,0,20,4550601,4550709
"Santa Tereza","Santo Cristo 1",595.03,0,40,4550601,4552802
"Santo Cristo","Santo Cristo 1",536.79,0,10,4550601,4550604
"Urca","Santo Cristo 1",32.51,0,20,4550601,4550915
"Cruz Vermelha","Santo Cristo 1",43.19,0,15,4550601,4550709
"Saens Pena","Santo Cristo 1",86,0,20,4550601,4551305
"Av.Passos","Santo Cristo 1",241.9,0,40,4550601,4550701
"Lido","Santo Cristo 1",269.59,0,20,4550601,4551002
"Praca Maua","Santo Cristo 1",358.71,0,40,4550601,4550605
"Piranhao","Santo Cristo 1",74.87,0,40,4550601,4550802
"Praca da Republica","Santo Cristo 1",99.53,0,20,4550601,4550710
