"Source","Dest","fluxoSD","fluxoDS","distance","geoSource","geoDest"
"N1","N2",11.00,11.00,1, 1, 2
"N2","N3", 1.01, 1.01,1, 2, 3
"N3","N4", 0.02, 0.02,1, 3, 4
"N4","N5", 0.02, 0.02,1, 4, 5
"N5","N10", 0.02, 0.02,1, 5,10
"N10","N9", 1.01, 1.01,1,10, 9
"N9","N8", 2.00, 2.00,1, 9, 8
"N8","N7", 1.01, 1.01,1, 8, 7
"N7","N6", 1.01, 1.01,1, 7, 6
"N6","N11", 1.01, 1.01,1, 6,11
"N11","N12",10.01,10.01,1,11,12
"N12","N13",10.01,10.01,1,12,13
"N13","N14",10.01,10.01,1,13,14
"N14","N15",10.01,10.01,1,14,15
"N15","N20", 0.02, 0.02,1,15,20
"N20","N19", 0.02, 0.02,1,20,19
"N19","N18", 0.02, 0.02,1,19,18
"N18","N17", 0.02, 0.02,1,18,17
"N17","N16", 0.02, 0.02,1,17,16
