"Source","Dest","fluxoSD","fluxoDS","distance","geoSource","geoDest"
"N1","N2",11.00,11.00,1.000000, 1, 2
"N1","N6",11.00,11.00,1.000000, 1, 6
"N1","N7",10.01,10.01,1.414214, 1, 7
"N2","N3", 1.01, 1.01,1.000000, 2, 3
"N2","N8", 2.00, 2.00,1.414214, 2, 8
"N3","N4", 0.02, 0.02,1.000000, 3, 4
"N4","N5", 0.02, 0.02,1.000000, 4, 5
"N6","N11", 1.01, 1.01,1.000000, 6,11
"N6","N12",11.00,11.00,1.414214, 6,12
"N8","N9", 2.00, 2.00,1.000000, 8, 9
"N8","N13", 1.01, 1.01,1.000000, 8,13
"N9","N10", 1.01, 1.01,1.000000, 9,10
"N9","N15", 1.01, 1.01,1.414214, 9,15
"N11","N16", 0.02, 0.02,1.000000,11,16
"N11","N17", 0.02, 0.02,1.414214,11,17
"N13","N14",10.01,10.01,1.000000,13,14
"N13","N18", 0.02, 0.02,1.000000,13,18
"N14","N19",10.01,10.01,1.000000,14,19
"N14","N20",10.01,10.01,1.414214,14,20
