lat,long,NOME_ZONAS,POP96,ZONA_TRAFE,DOMIC96,RA,AREA,POP0,POP2,POP10,POP15,POP20,POP40
685271.21,7466409.09,Santo Cristo 1,7374,4550601,2038,1,485235.39,0.03,0.12,0.09,0.07,0.32,0.38
684340.17,7465966.71,Santo Cristo 2,9094,4550602,2849,1,624481.72,0.03,0.12,0.09,0.07,0.32,0.38
684245.14,7466551.75,Rodoviaria,1871,4550603,606,1,1126857.34,0.04,0.13,0.1,0.07,0.33,0.34
685478.53,7466968.65,Santo Cristo,2436,4550604,813,1,579348.13,0.03,0.12,0.09,0.07,0.32,0.38
686242.79,7466715.05,Praca Maua,2104,4550605,714,1,379292.47,0.04,0.13,0.1,0.07,0.33,0.34
682394.47,7468839.68,Caju,17848,4550606,5227,1,5454226.19,0.04,0.14,0.1,0.07,0.35,0.3
686394.87,7465868.28,Av.Passos,505,4550701,264,2,482632.81,0.02,0.07,0.06,0.06,0.32,0.47
686208.63,7466308.34,Mal.Floriano,1589,4550702,645,2,409633.44,0.02,0.07,0.06,0.06,0.32,0.47
687227.35,7466703.57,Candelaria,206,4550703,144,2,638277.76,0.02,0.07,0.06,0.06,0.32,0.47
687116.07,7466022.29,1o. de marco,47,4550704,19,2,299632.94,0.02,0.07,0.06,0.06,0.32,0.47
688062.06,7465354.14,Aerop.S.Dumont,187,4550705,137,2,1236301.76,0.02,0.07,0.06,0.06,0.32,0.47
687260.91,7465369.76,Alm. Barroso,239,4550706,111,2,282185.32,0.02,0.07,0.06,0.06,0.32,0.47
686935.32,7464942.34,Passeio Publico,3260,4550707,1429,2,263546.36,0.02,0.07,0.06,0.06,0.32,0.47
686618.46,7465347.01,Av. Chile,1457,4550708,751,2,473100.26,0.02,0.07,0.06,0.06,0.32,0.47
685901.35,7465046.34,Cruz Vermelha,29674,4550709,12461,2,649939.33,0.02,0.07,0.06,0.06,0.32,0.47
685445.49,7465536.23,Praca da Republica,4491,4550710,1928,2,524081.5,0.02,0.07,0.06,0.06,0.32,0.47
685344.27,7465956.87,Central do Brasil,584,4550711,281,2,326922.11,0.02,0.07,0.06,0.06,0.32,0.47
684781.85,7465099.7,Sambodromo,4199,4550801,1393,3,339140.03,0.02,0.07,0.06,0.06,0.32,0.47
684304.57,7465408.03,Piranhao,1639,4550802,532,3,604869.35,0.02,0.07,0.06,0.06,0.32,0.47
684172.45,7464576.72,Estacio,21676,4550803,9123,3,973078.2,0.03,0.1,0.08,0.07,0.39,0.34
683233.05,7463233.64,Rio Comprido 1,15601,4550804,5222,3,1617896.46,0.03,0.11,0.09,0.07,0.31,0.4
684168.92,7463125.02,Rio Comprido 2,13733,4550805,4467,3,1168921.56,0.03,0.11,0.09,0.07,0.31,0.4
684061.11,7463917.76,Campos da Paz,11652,4550806,3633,3,459801.67,0.03,0.11,0.09,0.07,0.31,0.4
684882.21,7464232.96,Catumbi,12595,4550807,3849,3,543253.29,0.03,0.14,0.1,0.07,0.33,0.34
687359.65,7464749.79,MAM,1303,4550901,576,4,401096.45,0.02,0.07,0.06,0.06,0.32,0.47
687297.35,7463976.81,Gloria,10896,4550902,4710,4,682626.78,0.02,0.07,0.06,0.05,0.31,0.5
686611.11,7463451.16,Catete,22532,4550903,8880,4,706912.96,0.02,0.08,0.07,0.06,0.31,0.47
686410.86,7462687.57,Sao Salvador,19419,4550904,7305,4,555133.55,0.02,0.07,0.07,0.06,0.3,0.48
686961.7,7462653.03,Largo do Machado,38069,4550905,15227,4,537230.61,0.02,0.07,0.07,0.06,0.3,0.48
687355.61,7462498.6,Morro da Viuva,16440,4550906,6378,4,1021590.02,0.02,0.07,0.06,0.06,0.31,0.48
685839.99,7462702.67,Rua das Laranjeiras,14626,4550907,5232,4,930156.71,0.02,0.07,0.07,0.06,0.3,0.48
685323.98,7462173.73,General Glicerio,15326,4550908,5341,4,997818.65,0.02,0.07,0.07,0.06,0.3,0.48
684480.44,7461847.51,Cosme Velho,9692,4550909,2887,4,869018.76,0.03,0.11,0.09,0.07,0.31,0.39
685243.55,7460911.21,Dona Marta,19706,4550910,6930,4,970059.59,0.02,0.07,0.06,0.06,0.31,0.48
684407.53,7460366.58,Humaita,15603,4550911,6010,4,1221016.75,0.02,0.07,0.06,0.06,0.32,0.48
